British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Yellow-browed Warbler,,Phylloscopus inornatus,A,,,,4160
Pallas's Warbler,Pallas's Leaf Warbler,Phylloscopus proregulus,A,,,,4170
Radde's Warbler,,Phylloscopus schwarzi,A,,,,4180
Sulphur-bellied Warbler,,Phylloscopus griseolus,A,†,,,4185
Dusky Warbler,,Phylloscopus fuscatus,A,,,,4190
Willow Warbler,,Phylloscopus trochilus,A,,,,4200
Chiffchaff,Common Chiffchaff,Phylloscopus collybita,A,,,,4210
Iberian Chiffchaff,,Phylloscopus ibericus,A,†,,,4220
Eastern Crowned Warbler,,Phylloscopus coronatus,A,†,,,4230
Green Warbler,,Phylloscopus nitidus,A,†,,,4240
Two-barred Greenish Warbler,Two-barred Warbler,Phylloscopus plumbeitarsus,A,†,,,4250
Greenish Warbler,,Phylloscopus trochiloides,A,,,,4260
Pale-legged Leaf Warbler,,Phylloscopus tenellipes,A,†,,,4270
Arctic Warbler,,Phylloscopus borealis,A,,,,4280
Great Reed Warbler,,Acrocephalus arundinaceus,A,†,,,4290
Aquatic Warbler,,Acrocephalus paludicola,A,†,,,4300
Sedge Warbler,,Acrocephalus schoenobaenus,AF,,,,4310
Paddyfield Warbler,,Acrocephalus agricola,A,†,,,4320
Blyth's Reed Warbler,,Acrocephalus dumetorum,A,,,,4330
Reed Warbler,Common Reed Warbler,Acrocephalus scirpaceus,A,‡,,,4340
Marsh Warbler,,Acrocephalus palustris,A,,,,4350
Thick-billed Warbler,,Arundinax aedon,A,†,,,4360
Booted Warbler,,Iduna caligata,A,†,,,4370
Sykes's Warbler,,Iduna rama,A,†,,,4380
Eastern Olivaceous Warbler,,Iduna pallida,A,†,,,4390
Olive-tree Warbler,,Hippolais olivetorum,A,†,,,4400
Melodious Warbler,,Hippolais polyglotta,A,,,,4410
Icterine Warbler,,Hippolais icterina,A,,,,4420
Pallas's Grasshopper Warbler,,Helopsaltes certhiola,A,†,,,4430
Lanceolated Warbler,,Locustella lanceolata,A,†,,,4440
River Warbler,,Locustella fluviatilis,A,†,,,4450
Savi's Warbler,,Locustella luscinioides,A,†,,,4460
Grasshopper Warbler,Common Grasshopper Warbler,Locustella naevia,A,‡,,,4470
Fan-tailed Warbler,Zitting Cisticola,Cisticola juncidis,A,†,,,4480
Blackcap,Eurasian Blackcap,Sylvia atricapilla,AF,,,,4490
Garden Warbler,,Sylvia borin,AF,,,,4500
Barred Warbler,,Curruca nisoria,A,,,,4510
Lesser Whitethroat,,Curruca curruca,AF,‡,,,4520
Western Orphean Warbler,,Curruca hortensis,A,†,,,4530
Eastern Orphean Warbler,,Curruca crassirostris,A,†,,,4540
Asian Desert Warbler,,Curruca nana,A,†,,,4550
Rüppell's Warbler,,Curruca ruppeli,A,†,,,4560
Sardinian Warbler,,Curruca melanocephala,A,†,,,4570
Western Subalpine Warbler,,Curruca iberiae,A,†,,,4580
Moltoni's Subalpine Warbler,Moltoni's Warbler,Curruca subalpina,A,†,,,4590
Eastern Subalpine Warbler,,Curruca cantillans,A,†,,,4600
Whitethroat,Common Whitethroat,Curruca communis,AF,,,,4610
Spectacled Warbler,,Curruca conspicillata,A,†,,,4620
Marmora's Warbler,,Curruca sarda,A,†,,,4630
Dartford Warbler,,Curruca undata,A,,,,4640
Ruby-crowned Kinglet,,Corthylio calendula,A,†,,,4650
Firecrest,Common Firecrest,Regulus ignicapilla,A,,,,4660
Goldcrest,,Regulus regulus,AF,,,,4670
Wren,Eurasian Wren,Troglodytes troglodytes,AF,,,,4680
Red-breasted Nuthatch,,Sitta canadensis,A,†,,,4690
Nuthatch,Eurasian Nuthatch,Sitta europaea,AF,,,,4700
Wallcreeper,,Tichodroma muraria,A,†,,,4710
